0,1,2,3,lon,lat
129817,BP-001296-007,50029992,A,-117.25737886352594,32.79661448626644
129827,BP-001296-017,50030002,A,-117.25733326960724,32.797694715323566
129828,BP-001296-018,50030003,A,-117.25725100460517,32.79746901429522
129829,BP-001296-019,50030004,A,-117.25710491715961,32.796729907645755
129832,BP-000817-007,50030011,A,-117.2445027797899,32.800091051211936
129835,BP-000817-010,50030020,A,-117.24475027675524,32.800229855234015
129840,BP-000817-002,50030032,A,-117.24459284884632,32.80119763415644
129849,BP-000959-008,50030043,A,-117.1674376585611,32.71353946287872
129851,BP-000959-010,50030045,A,-117.16749377727139,32.71317522702343
129852,BP-000959-002,50030046,A,-117.16750229760792,32.712895798667226
129854,BP-000899-002,50030050,A,-117.13419945206415,32.75040085931829
129855,BP-000899-003,50030052,A,-117.13435550040279,32.750399740919526
129859,BP-000899-007,50030060,A,-117.13451931527133,32.751172246726256
129872,BP-000899-020,50030080,A,-117.13404033249357,32.75320658975457
129873,BP-000899-021,50030081,A,-117.13404439022219,32.75361098436138
129875,BP-000899-023,50030083,A,-117.1348073846334,32.75395718804879
129877,BP-000899-025,50030085,A,-117.13501086542097,32.753498554085745
129891,BP-001006-025,50030100,A,-117.05027002079225,32.68724804450476
129894,BP-001006-004,50030103,A,-117.05073376805214,32.68550922390845
129896,BP-001006-006,50030105,A,-117.05112798137893,32.685837513141635
129897,BP-001006-007,50030106,A,-117.0511314427617,32.68621846959523
129898,BP-001006-008,50030107,A,-117.05091823731051,32.68623990630065
129908,BP-001017-001,50030121,A,-117.0483404441266,32.67696174635172
129911,BP-001017-009,50030136,A,-117.0480271457558,32.67632650747189
129916,BP-000842-003,50030153,A,-117.06710564838927,32.78864425395353
129917,BP-000842-004,50030154,A,-117.06713307348603,32.78890973980581
129924,BP-001303-005,50030161,A,-117.17714235243717,32.75004378090043
129925,BP-001303-006,50030162,A,-117.1772378286601,32.75003881466559
129926,BP-001303-007,50030163,A,-117.17732329475268,32.75003817233769
129928,BP-001303-009,50030165,A,-117.17714320184405,32.75012450067092
129929,BP-001303-010,50030166,A,-117.17723863344413,32.750115286026485
129933,BP-001303-002,50030170,A,-117.17712883485709,32.75019258854895
129935,BP-001303-004,50030172,A,-117.17733069204701,32.750263300224155
129939,BP-000884-005,50030200,A,-117.19699819096162,32.7580485067601
129942,BP-000884-008,50030219,A,-117.19639761111111,32.7580418800176
129944,BP-000884-010,50030222,A,-117.19617106790164,32.75823342524498
129945,BP-000884-002,50030224,A,-117.19591023829449,32.75861721089001
129957,BP-000803-008,50030239,A,-117.06526393632491,32.8070983468025
129958,BP-000803-009,50030240,A,-117.0652595792185,32.807724256305754
130167,BP-000824-006,50030453,A,-117.02142803666182,32.79793738866739
130168,BP-000824-007,50030454,A,-117.02121743426571,32.79799218787481
130170,BP-000824-009,50030456,A,-117.02133844645329,32.79815188184717
130171,BP-000824-010,50030457,A,-117.02144351358112,32.798097741977976
130174,BP-000824-002,50030462,A,-117.02068547759795,32.798310467436714
130188,BP-001106-008,50030470,A,-117.04508119600168,32.54703328420309
130190,BP-001106-010,50030480,A,-117.04477787484193,32.54704748185386
130194,BP-001106-014,50030504,A,-117.04535645049992,32.546309409945636
130199,BP-000746-001,50030529,A,-117.27567486652411,32.84907374530124
130201,BP-000746-003,50030531,A,-117.27469106472745,32.84992065953151
130207,BP-000746-008,50030536,A,-117.27330488233738,32.850202256683644
130229,BP-001090-006,50030568,A,-117.05362622523577,32.578315168754685
130246,BP-000971-033,50030589,A,-117.0259548741878,32.70524098050554
130248,BP-000971-008,50030591,A,-117.02636700768535,32.70527707330275
130330,BP-001238-002,50030671,A,-117.23698215493455,32.75191119957192
130331,BP-000992-001,50030672,A,-117.1080552419442,32.69270768504146
130334,BP-000992-004,50030675,A,-117.10685145524631,32.69326277706027
130346,BP-000992-017,50030699,A,-117.10467099092969,32.69386712496944
130380,BP-001230-002,50030732,A,-117.24148527149123,32.754237409735154
130381,BP-001230-011,50030733,A,-117.24135357073345,32.75414810872201
130384,BP-001230-014,50030736,A,-117.24094658973658,32.75388030025474
130393,BP-001230-023,50030775,A,-117.24085654028556,32.753268588624366
130397,BP-001230-027,50030783,A,-117.24070873032473,32.7549163215764
130401,BP-001230-031,50030790,A,-117.24031690064407,32.75493954688484
130403,BP-001230-033,50030796,A,-117.24000992620405,32.75511268884845
130405,BP-001230-035,50030802,A,-117.23994781648081,32.754872229231594
130406,BP-001230-036,50030803,A,-117.23971336498553,32.75515522762986
130413,BP-001230-043,50030814,A,-117.23901196473945,32.755120692031575
130414,BP-001230-044,50030818,A,-117.23898673874086,32.75499037535301
130419,BP-001230-049,50030829,A,-117.23837154421709,32.7552262227804
130422,BP-000990-012,50030832,A,-117.09789958562351,32.694346974266516
130428,BP-000990-032,50030841,A,-117.09654632203856,32.69415094326601
130432,BP-000990-004,50030849,A,-117.096422124056,32.69441068936113
130433,BP-000990-005,50030851,A,-117.09660236416083,32.69448979821791
130439,BP-000990-011,50030883,A,-117.09593091397257,32.69493184723291
130440,BP-000990-013,50030890,A,-117.09581649936807,32.69511117933787
130448,BP-000990-021,50030942,A,-117.0959697803254,32.69568147891071
130453,BP-001242-001,50030947,A,-117.21065578599926,32.85117919974606
130454,BP-001242-011,50030949,A,-117.21028713880175,32.851379759423914
130457,BP-001242-030,50030952,A,-117.20950380258847,32.85113873025054
130459,BP-001242-032,50030955,A,-117.20913419199125,32.85214654107987
130460,BP-001242-033,50030956,A,-117.20917930193713,32.85180846496403
130461,BP-001242-034,50030958,A,-117.20921591033331,32.85158577586583
130470,BP-001242-010,50030988,A,-117.21029024612665,32.85077018124543
130471,BP-001242-012,50030990,A,-117.21049480369302,32.85073564192797
130475,BP-001242-016,50030999,A,-117.21072386949749,32.85026433915833
130476,BP-001242-017,50031004,A,-117.21071581994254,32.850420908887045
130477,BP-001242-018,50031008,A,-117.21073704417105,32.85057725093013
130479,BP-001242-020,50031011,A,-117.2111060467805,32.85040963597651
130486,BP-001242-028,50031025,A,-117.21075030885522,32.85089839921664
130489,BP-001297-009,50031030,A,-117.09343082873255,32.57608818481231
130493,BP-001297-013,50031038,A,-117.09327592933879,32.57622703514304
130497,BP-001297-003,50031067,A,-117.0944866539759,32.57622424956674
130501,BP-001209-003,50031086,A,-117.16121365055798,32.71548616923072
130504,BP-001209-006,50031089,A,-117.16182771724873,32.715491243315974
130509,BP-001209-011,50031094,A,-117.16146295709001,32.71540422294113
130511,BP-001209-012,50031096,A,-117.1615235957766,32.71540377478946
130522,BP-001209-023,50031107,A,-117.16149822599264,32.71551610802763
130523,BP-001209-024,50031108,A,-117.16145268065772,32.71551003629661
130525,BP-001209-026,50031110,A,-117.16142186432967,32.71546220157204
130531,BP-001209-032,50031116,A,-117.16128562594177,32.7154824332737
130539,BB-001219-008,50031134,A,-117.22071384749883,32.80105309329676
130549,BB-001219-017,50031156,A,-117.21947669327503,32.800586920412606
130554,BB-001219-022,50031164,A,-117.21940691543219,32.8003212900713
130555,BB-001219-023,50031166,A,-117.21959755321392,32.800287528893364
130556,BB-001219-024,50031168,A,-117.2198072013089,32.80024555207072
130560,BB-001219-028,50031175,A,-117.22017079858254,32.800307223260106
130562,BB-001219-030,50031183,A,-117.21985628198918,32.800366156631
130569,BB-001219-037,50031203,A,-117.2193835937641,32.80080543373761
130571,BB-001219-039,50031205,A,-117.21931878784093,32.80099146080152
130573,BB-001219-041,50031210,A,-117.22027580413364,32.801169461023804
130582,BP-000658-002,50031219,A,-117.13498955709797,32.959017028611655
130590,BP-000770-005,50031227,A,-117.10804514976054,32.83615931314283
130592,BP-000770-007,50031229,A,-117.10748024383071,32.83606996592016
130593,BP-000770-008,50031230,A,-117.10795544572214,32.8359046692074
130598,BP-000770-003,50031235,A,-117.10823223907578,32.83566711483474
130605,BP-000698-002,50031263,A,-117.1598638381622,32.91465941527692
130607,BP-000761-001,50031267,A,-117.277448794276,32.84242036050283
130609,BP-000761-009,50031270,A,-117.27808835155017,32.84229542206279
130610,BP-000761-010,50031271,A,-117.27813704339135,32.84242032922074
130611,BP-000761-011,50031273,A,-117.27818586844033,32.84255662729491
130613,BP-000761-013,50031279,A,-117.27780724398774,32.842491426401224
130614,BP-000761-014,50031280,A,-117.27755352177287,32.842721378385065
130615,BP-000761-015,50031282,A,-117.27750429866742,32.842550907252246
130616,BP-000761-002,50031283,A,-117.2778910668858,32.84273565775161
130628,BP-001235-013,50031301,A,-117.13998579593486,32.721655955585604
130631,BP-001235-002,50031304,A,-117.14146851219047,32.720791182477136
130642,BP-000980-004,50031318,A,-117.1311370237172,32.700150751645154
130650,BP-000980-011,50031336,A,-117.13118287245376,32.69887906932596
130657,BP-000980-018,50031350,A,-117.13049397531368,32.698777709670765
130661,BP-000980-022,50031355,A,-117.13183525988597,32.69825795474584
130662,BP-000980-023,50031356,A,-117.13063942606995,32.70036782963061
130663,BP-000980-024,50031359,A,-117.13116516116793,32.700582819297146
130670,BP-001240-019,50031368,A,-117.2479759285557,32.76024015847386
130680,BP-001149-006,50031381,A,-117.25208643183758,32.76946702453399
130683,BP-001149-009,50031387,A,-117.25153980049011,32.7691689625054
130687,BP-001234-001,50031394,A,-117.24872967194713,32.78481957828294
130688,BP-001234-002,50031395,A,-117.24948744274208,32.784803281636236
130689,BP-001234-003,50031396,A,-117.24899379662811,32.783709695640546
130692,BP-001234-006,50031399,A,-117.24942606175858,32.783635056629244
130702,BP-000686-003,50031410,A,-117.14864030960842,32.92527244893553
130726,BP-001236-006,50031425,A,-117.23363444459211,32.77322154475213
130730,BP-001236-010,50031432,A,-117.23408894419366,32.772641539168696
130733,BP-000774-032,50031436,A,-117.08765864387978,32.829747348895665
130734,BP-000774-033,50031439,A,-117.08809123373149,32.829738521938516
130735,BP-000774-034,50031441,A,-117.08871144791162,32.82964593234055
130738,BP-000774-037,50031452,A,-117.08756352823563,32.83001902274048
130741,BP-000774-040,50031462,A,-117.08842397693644,32.830237077268286
130750,BP-000774-009,50031486,A,-117.08949714756174,32.83080719571596
130751,BP-000774-010,50031488,A,-117.08872463946722,32.83103044605506
130755,BP-000774-014,50031496,A,-117.08850479708721,32.829930148236826
130756,BP-000774-015,50031497,A,-117.08846878386713,32.829812554179256
130757,BP-000774-016,50031498,A,-117.08812780736162,32.82991503158634
130758,BP-000774-017,50031499,A,-117.0881846425202,32.83002070056062
130759,BP-000774-018,50031501,A,-117.08823478013386,32.8301558746142
130761,BP-000774-020,50031505,A,-117.08752252852895,32.83084417078147
130768,BP-000774-027,50031518,A,-117.08800733673283,32.83118850572352
130773,BP-001227-001,50031532,A,-117.23996150272716,32.77200569428959
130777,BP-001227-018,50031536,A,-117.23811067637024,32.77138767471313
130778,BP-001227-019,50031537,A,-117.23799948439994,32.77174880398212
130784,BP-001227-004,50031543,A,-117.23825878510861,32.77226274590318
130786,BP-001227-006,50031545,A,-117.23707635459127,32.77267139270375
130787,BP-001227-007,50031546,A,-117.23606447608165,32.77287420554059
130788,BP-001227-008,50031547,A,-117.23604578848601,32.77326380239798
130793,BP-001227-014,50031553,A,-117.23850891159525,32.77195892076828
130796,BP-001243-032,50031557,A,-117.20959767514857,32.78988013110388
130803,BP-001243-025,50031564,A,-117.20970694181305,32.7892197993198
130804,BP-001243-001,50031565,A,-117.20919520680306,32.789026859055625
130806,BP-000672-001,50031567,A,-117.12988364173722,32.94058515532898
130810,BP-000672-045,50031576,A,-117.13030672312733,32.94264985993805
130816,BP-000672-003,50031588,A,-117.13246934713669,32.94261323745421
130824,BP-000672-011,50031603,A,-117.13174344786249,32.941706500020516
130825,BP-001084-010,50031607,A,-117.06993181803676,32.581390993447826
130826,BP-001084-011,50031612,A,-117.06987493299165,32.581104441187485
130830,BP-001084-015,50031624,A,-117.07034145641883,32.58170962806202
130834,BP-001292-006,50031628,A,-117.1525118717898,32.73197607140268
130840,BP-001292-012,50031634,A,-117.15246337101189,32.73206372711099
130844,BP-001292-002,50031638,A,-117.1588695553886,32.733327495411935
130855,BP-000814-002,50031659,A,-117.16558905399361,32.80192744008741
130860,BP-000814-007,50031664,A,-117.16623853107399,32.80059852533345
130861,BP-000814-008,50031665,A,-117.16660012359564,32.800578865532565
130867,BP-000814-015,50031672,A,-117.16755688190139,32.799807856370116
130882,BB-001213-024,50031756,A,-117.07165865939564,32.735615001639765
130883,BB-001213-032,50031757,A,-117.07185391968379,32.73524633817068
130885,BB-001213-034,50031761,A,-117.07300028134759,32.735658538769975
130893,BB-001213-007,50031785,A,-117.07379960772025,32.73215800877297
130896,BB-001213-010,50031790,A,-117.07102348756963,32.732753801274136
130899,BB-001213-014,50031795,A,-117.07197729965868,32.73382854546303
130900,BB-001213-015,50031796,A,-117.07196958100509,32.73433240868146
130901,BB-001213-016,50031798,A,-117.07193457939483,32.73457405171485
130906,BB-001213-021,50031816,A,-117.07039673340925,32.73479421018339
130915,BB-001217-020,50031833,A,-117.14524986432689,32.71841693432074
130917,BB-001217-022,50031837,A,-117.14432675491103,32.71978835237265
130920,BB-001217-025,50031842,A,-117.1430202833846,32.721714446556135
130922,BB-001217-002,50031846,A,-117.14335195355211,32.720733958861686
130924,BB-001217-004,50031849,A,-117.14479308805878,32.719410082589874
130927,BB-001217-007,50031853,A,-117.1456515868836,32.71931070033136
130928,BB-001217-008,50031854,A,-117.14534432662298,32.719016800367804
130930,BB-001217-010,50031856,A,-117.14560764683131,32.718239782352974
130933,BB-001217-014,50031862,A,-117.14595148911386,32.7184608475884
130934,BB-001217-015,50031863,A,-117.1459080951974,32.718052439868856
130947,BP-000672-022,50031886,A,-117.13127538011209,32.94218867641153
130955,BB-001223-005,50031904,A,-117.13796754304151,32.81293496494767
130957,BB-001223-007,50031910,A,-117.13913737935408,32.81293954384768
130959,BB-001223-009,50031915,A,-117.14116910367477,32.812937893792146
130961,BB-001223-011,50031920,A,-117.14288347021206,32.8127565381617
130977,BB-001223-019,50031944,A,-117.21500895574995,32.80913125748259
131065,BP-000806-007,50032034,A,-117.20075024270264,32.80638551120578
131391,BL-001266-002,50032363,A,-117.20631044387895,32.82819606790705
131392,BL-001271-001,50032366,A,-117.19384287412107,32.7935804725265
131394,BL-001262-001,50032370,A,-117.2007040350752,32.85416527449878
131399,BL-001267-004,50032376,A,-117.17518924337205,32.821704905048605
131401,BL-001267-006,50032378,A,-117.17538744157225,32.82163141856742
131406,BL-001277-002,50032384,A,-117.06820642293876,32.57695463247627
131408,BL-001277-004,50032386,A,-117.06796613775434,32.576637629040746
131412,BL-001286-003,50032390,A,-117.02711348875638,32.697572055624754
131418,BL-001287-002,50032396,A,-117.09781591184279,32.82070037110852
131420,BL-001268-001,50032398,A,-117.14028656640127,32.805274987293416
131442,BP-001285-001,50032413,A,-117.079922541843,32.73495991281272
131444,BP-001285-003,50032415,A,-117.07988959261716,32.73530426429825
131448,BL-001220-001,50032419,A,-117.14261577089842,32.91549928518755
131455,BP-000695-001,50032427,A,-117.14117157096248,32.91317663520304
131480,BD-001239-022,50032456,A,-117.04304257588485,32.704105395040415
131483,BD-001239-025,50032459,A,-117.04313781991041,32.70426343338282
131484,BD-001239-026,50032460,A,-117.04327624774335,32.704313871213174
131492,BD-001239-007,50032468,A,-117.04277394568506,32.70491904149085
131496,BD-001239-011,50032472,A,-117.04233386000594,32.70446458204372
131512,BD-001278-003,50032484,A,-117.05720494828915,32.5575801980075
131514,BD-001278-005,50032486,A,-117.05757529977791,32.55766127306521
131541,BD-001290-003,50032513,A,-117.15089784354407,32.71556137705461
131545,BD-001269-010,50032517,A,-117.12925666755419,32.80937034828162
131546,BD-001269-011,50032518,A,-117.12916532113539,32.80920163937544
131558,BD-001270-010,50032533,A,-117.1951886675949,32.76397987154847
131560,BD-001270-012,50032535,A,-117.19491187944287,32.763994991268405
131561,BD-001270-013,50032536,A,-117.19487491249595,32.76389560794426
131567,BD-001270-019,50032542,A,-117.19476573151732,32.763757777620725
131568,BD-001270-020,50032543,A,-117.19490382315036,32.76372205372843
131577,BD-001261-013,50032560,A,-117.21522088383945,32.87675415006379
131578,BD-001261-002,50032561,A,-117.21570546933293,32.876642249362895
131579,BD-001261-003,50032565,A,-117.21577115872826,32.87673460532598
131581,BD-001261-005,50032571,A,-117.21538241764775,32.87671684780779
131641,BP-000884-013,50032636,A,-117.19381675747013,32.7573226931851
131647,BP-001240-010,50032642,A,-117.24794424246012,32.76019648940504
131648,BP-001240-011,50032643,A,-117.247458108335,32.76042004666475
131658,BP-001097-003,50032653,A,-117.06291823469253,32.56595108387042
132082,BD-001269-015,50033055,A,-117.12836389115434,32.80907411652434
132083,BD-001269-016,50033056,A,-117.12807929138907,32.80905156926505
132085,BD-001269-002,50033058,A,-117.12895910718584,32.809258956493316
