,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist
49,18603.0,2.0,,,,,,,,,,,
50,18610.0,4.0,,,,,,,,,,,
51,20019.0,1.0,,,,,,,,,,,
52,20021.0,3.0,,,,,,,,,,,
53,20026.0,1.0,,,,,,,,,,,
54,20027.0,2.0,,,,,,,,,,,
55,20028.0,1.0,,,,,,,,,,,
56,20029.0,2.0,,,,,,,,,,,
57,2001.0,3.0,36.0,3.0,0.0,2.0,70.0,342663.0,32.7613844,-117.1015355,0.000204282341543,96.1542576124,
58,6500.0,1.0,97.0,3.0,25.0,4.0,200.0,1811125.0,32.7540326,-117.2088997,0.000110428601008,246.074448979,238.103504655
59,10103.0,1.0,10.0,5.0,2.0,0.0,9.0,2267385.0,32.5996184,-117.0958327,3.96933030782e-06,225.771185616,289.23201641
60,7100.0,1.0,18.0,0.0,0.0,0.0,37.0,755377.0,32.7145648,-117.237928,4.89821638731e-05,,
61,8329.0,2.0,5.0,0.0,1.0,0.0,27.0,546016.0,32.9389769,-117.2343781,4.94491003927e-05,,230.933398395
62,8329.0,3.0,3.0,0.0,0.0,0.0,19.0,334474.0,32.9442844,-117.2344082,5.68056111985e-05,,
63,9706.0,2.0,15.0,2.0,1.0,0.0,36.0,576333.0,32.7809015,-117.0588022,6.24638880647e-05,294.068963403,435.916387035
64,202.0,1.0,29.0,1.0,1.0,0.0,67.0,398313.0,32.743901,-117.177338,0.000168209423243,40.2293354927,45.9200337579
65,202.0,3.0,32.0,1.0,1.0,1.0,66.0,561250.0,32.7451109,-117.1711131,0.000117594654788,14.1458262641,57.9990773636
66,8337.0,3.0,8.0,1.0,0.0,0.0,42.0,502912.0,32.9553442,-117.1368837,8.35136166964e-05,185.246671854,
67,8340.0,3.0,1.0,0.0,0.0,0.0,21.0,377507.0,32.8718309,-117.1999695,5.56281075583e-05,,
68,8340.0,4.0,15.0,0.0,1.0,2.0,54.0,500362.0,32.8678234,-117.2045327,0.00010792186457,,123.615309423
69,8341.0,2.0,23.0,0.0,0.0,2.0,50.0,474839.0,32.8717691,-117.216157,0.000105298848662,,
70,8346.0,2.0,5.0,0.0,0.0,2.0,62.0,1816013.0,32.9322708,-117.156419,3.41407247635e-05,,
71,8347.0,4.0,2.0,0.0,0.0,0.0,32.0,218866.0,32.9292352,-117.1498655,0.000146208182175,,
72,8902.0,2.0,16.0,4.0,1.0,0.0,28.0,769110.0,32.7666935,-117.1740746,3.64057156974e-05,205.38550762,476.421516073
73,8702.0,2.0,25.0,1.0,4.0,2.0,92.0,1372254.0,32.7812135,-117.1582498,6.70429818386e-05,190.106088358,92.3459873493
74,9104.0,1.0,20.0,0.0,0.0,0.0,42.0,556879.0,32.7813624,-117.2032921,7.54203336811e-05,,
75,9202.0,1.0,18.0,5.0,1.0,2.0,84.0,1738457.0,32.7820463,-117.1473603,4.83187102126e-05,153.615067324,1.93191903627
76,9301.0,2.0,13.0,0.0,0.0,0.0,44.0,751627.0,32.7964852,-117.1342016,5.85396745992e-05,,
77,9510.0,3.0,,,,,,,,,,,
78,9704.0,4.0,7.0,0.0,0.0,0.0,31.0,670642.0,32.8023694,-117.0600514,4.62243641168e-05,,
79,9802.0,1.0,24.0,7.0,0.0,0.0,83.0,579832.0,32.7961346,-117.0200128,0.00014314491094,68.6382086479,
80,10104.0,1.0,15.0,6.0,0.0,0.0,41.0,961651.0,32.5636143,-117.0970072,4.26350099984e-05,59.6044105678,
81,10200.0,6.0,1.0,1.0,0.0,0.0,,,,,,5612.50118369,
82,10300.0,3.0,,,,,,,,,,,
83,13606.0,4.0,,,,,,,,,,,
84,16614.0,2.0,,,,,,,,,,,
85,16616.0,2.0,,,,,,,,,,,
86,11300.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
87,11902.0,3.0,,,,,,,,,,,
88,12501.0,1.0,,,,,,,,,,,
89,12501.0,2.0,1.0,0.0,0.0,0.0,,,,,,,
90,12502.0,1.0,,,,,,,,,,,
91,18612.0,2.0,,,,,,,,,,,
92,18613.0,2.0,,,,,,,,,,,
93,18614.0,2.0,,,,,,,,,,,
94,19301.0,2.0,,,,,,,,,,,
95,19403.0,3.0,,,,,,,,,,,
96,20029.0,3.0,,,,,,,,,,,
97,20209.0,3.0,,,,,,,,,,,
98,20211.0,4.0,,,,,,,,,,,
99,20213.0,1.0,,,,,,,,,,,
100,20213.0,2.0,,,,,,,,,,,
101,20214.0,2.0,,,,,,,,,,,
102,20214.0,3.0,,,,,,,,,,,
103,20809.0,3.0,,,,,,,,,,,
104,3603.0,2.0,17.0,1.0,1.0,1.0,26.0,230776.0,32.6848546,-117.1063686,0.000112663361875,53.8991498383,236.80234615
105,3401.0,4.0,24.0,6.0,6.0,0.0,86.0,800484.0,32.7262393,-117.0897175,0.000107435001824,175.401688437,103.797085856
106,14002.0,1.0,,,,,,,,,,,
107,20401.0,1.0,,,,,,,,,,,
108,8348.0,3.0,5.0,0.0,0.0,0.0,44.0,591245.0,32.9121164,-117.1687159,7.44192339893e-05,,
109,8350.0,4.0,1.0,0.0,0.0,0.0,32.0,297589.0,32.9068583,-117.1660672,0.000107530856315,,
110,8354.0,2.0,9.0,0.0,1.0,0.0,34.0,466043.0,32.9284272,-117.1225547,7.29546415245e-05,,30.0546822838
111,8363.0,2.0,,,,,,,,,,,
112,8363.0,3.0,1.0,0.0,1.0,0.0,4.0,79447.0,32.8630916,-117.2237614,5.03480307626e-05,,85.2136378128
113,8364.0,1.0,4.0,0.0,0.0,2.0,20.0,404363.0,32.8576312,-117.2259345,4.94605094927e-05,,
114,8364.0,2.0,1.0,1.0,0.0,0.0,7.0,241871.0,32.8621091,-117.2276112,2.89410470871e-05,259.642038133,
115,8364.0,3.0,2.0,0.0,0.0,0.0,22.0,343009.0,32.858681,-117.2298905,6.41382587629e-05,,
116,13802.0,2.0,,,,,,,,,,,
117,14200.0,4.0,,,,,,,,,,,
118,14805.0,1.0,,,,,,,,,,,
119,14806.0,1.0,,,,,,,,,,,
120,14902.0,2.0,,,,,,,,,,,
121,15601.0,3.0,,,,,,,,,,,
122,15703.0,3.0,,,,,,,,,,,
123,15901.0,2.0,,,,,,,,,,,
124,15902.0,4.0,,,,,,,,,,,
125,16302.0,3.0,,,,,,,,,,,
126,18300.0,4.0,,,,,,,,,,,
127,18603.0,3.0,,,,,,,,,,,
128,18613.0,1.0,,,,,,,,,,,
129,18803.0,3.0,,,,,,,,,,,
130,19806.0,3.0,,,,,,,,,,,
131,19809.0,2.0,,,,,,,,,,,
132,20023.0,2.0,,,,,,,,,,,
133,20028.0,2.0,,,,,,,,,,,
134,18100.0,6.0,,,,,,,,,,,
135,18200.0,3.0,,,,,,,,,,,
136,18200.0,4.0,,,,,,,,,,,
137,19808.0,1.0,,,,,,,,,,,
138,19808.0,2.0,,,,,,,,,,,
139,19808.0,3.0,,,,,,,,,,,
140,19809.0,3.0,,,,,,,,,,,
141,21400.0,2.0,37.0,0.0,3.0,0.0,51.0,387920.0,32.7300893,-117.2281795,0.000131470406269,,50.6673099253
142,21500.0,2.0,12.0,1.0,0.0,4.0,148.0,1406709.0,32.952985,-117.2061648,0.000105210103867,34.2236128493,
143,21500.0,3.0,5.0,0.0,0.0,3.0,53.0,438376.0,32.9560555,-117.2094635,0.00012090077924,,
144,21600.0,1.0,,,,,,,,,,,
145,19601.0,3.0,,,,,,,,,,,
146,17200.0,4.0,,,,,,,,,,,
147,17019.0,1.0,11.0,0.0,0.0,2.0,98.0,937356.0,33.0242346,-117.0557799,0.00010454939212,,
148,16701.0,2.0,,,,,,,,,,,
149,17047.0,1.0,9.0,0.0,0.0,1.0,61.0,654631.0,32.9201738,-117.0701638,9.318226604e-05,,
150,17051.0,2.0,16.0,1.0,0.0,1.0,39.0,551592.0,33.0047611,-117.0611001,7.07044337119e-05,330.745261379,
151,17051.0,3.0,18.0,0.0,0.0,2.0,48.0,1115579.0,33.0091347,-117.0704318,4.30269841939e-05,,
152,17403.0,4.0,,,,,,,,,,,
153,17702.0,2.0,,,,,,,,,,,
154,17813.0,1.0,,,,,,,,,,,
155,19905.0,3.0,,,,,,,,,,,
156,20013.0,3.0,,,,,,,,,,,
157,20015.0,2.0,,,,,,,,,,,
158,20017.0,3.0,,,,,,,,,,,
159,10014.0,2.0,65.0,9.0,3.0,0.0,548.0,9352868.0,32.5787826,-117.0187686,5.85916533838e-05,158.867336847,559.047333579
160,17109.0,4.0,,,,,,,,,,,
161,10800.0,2.0,,,,,,,,,,,
162,11100.0,3.0,,,,,,,,,,,
163,15302.0,2.0,1.0,0.0,0.0,1.0,,,,,,,
164,15704.0,2.0,,,,,,,,,,,
165,16202.0,1.0,,,,,,,,,,,
166,18000.0,3.0,,,,,,,,,,,
167,19302.0,4.0,,,,,,,,,,,
168,16804.0,3.0,,,,,,,,,,,
169,3114.0,2.0,9.0,2.0,1.0,0.0,62.0,832583.0,32.6997221,-117.0468684,7.44670501319e-05,90.7032620203,190.318995791
170,3304.0,2.0,21.0,9.0,8.0,0.0,34.0,367176.0,32.707203,-117.0885503,9.25986447916e-05,118.680252985,65.483804667
171,19103.0,3.0,,,,,,,,,,,
172,19601.0,4.0,,,,,,,,,,,
173,20213.0,3.0,,,,,,,,,,,
174,21100.0,3.0,,,,,,,,,,,
175,21205.0,1.0,,,,,,,,,,,
176,22100.0,1.0,,,,,,,,,,,
177,18700.0,1.0,,,,,,,,,,,
178,8303.0,2.0,43.0,0.0,1.0,1.0,52.0,2170029.0,32.8446149,-117.2531864,2.39628134002e-05,,303.916000567
179,20903.0,3.0,,,,,,,,,,,
180,8327.0,3.0,9.0,0.0,0.0,1.0,71.0,4107725.0,32.9703783,-117.2429643,1.72845066308e-05,,
181,17808.0,2.0,,,,,,,,,,,
182,16609.0,2.0,,,,,,,,,,,
183,12003.0,1.0,,,,,,,,,,,
184,17034.0,1.0,36.0,1.0,3.0,7.0,50.0,1918278.0,32.988855,-117.0923905,2.60650437528e-05,504.691353734,61.924314905
185,17014.0,2.0,39.0,1.0,0.0,3.0,92.0,805205.0,33.0124686,-117.0630429,0.00011425661788,58.0830181498,
186,17104.0,2.0,,,,,,,,,,,
187,18504.0,2.0,,,,,,,,,,,
188,7501.0,2.0,4.0,0.0,0.0,0.0,16.0,100074.0,32.7479057,-117.2421991,0.000159881687551,,
189,9103.0,2.0,6.0,0.0,0.0,0.0,22.0,220316.0,32.7900629,-117.1934569,9.98565696545e-05,,
190,9704.0,3.0,19.0,1.0,10.0,3.0,70.0,1152853.0,32.8099233,-117.0588646,6.07189294732e-05,68.1428248131,76.1996124505
191,2402.0,1.0,13.0,1.0,0.0,1.0,46.0,208472.0,32.7468248,-117.1027022,0.000220653133274,83.1114038619,
192,13203.0,2.0,,,,,,,,,,,
193,17015.0,3.0,21.0,1.0,3.0,3.0,104.0,2570137.0,33.0417215,-117.0709571,4.04647689987e-05,34.8710118434,225.313731245
194,17404.0,2.0,,,,,,,,,,,
195,18504.0,4.0,,,,,,,,,,,
196,3601.0,1.0,45.0,4.0,18.0,3.0,104.0,897314.0,32.6909981,-117.1165301,0.000115901457015,68.1188632214,80.330898096
197,18801.0,1.0,,,,,,,,,,,
198,19303.0,1.0,,,,,,,,,,,
199,4501.0,1.0,62.0,37.0,3.0,4.0,43.0,164495.0,32.7176294,-117.1360148,0.000261406121767,98.2856433097,115.699259852
200,13908.0,1.0,,,,,,,,,,,
201,16901.0,4.0,,,,,,,,,,,
202,3208.0,3.0,5.0,1.0,0.0,0.0,5.0,141850.0,32.680759,-117.0446213,3.52485019387e-05,203.994246937,
203,3212.0,2.0,18.0,3.0,1.0,1.0,72.0,803843.0,32.6709119,-117.0545579,8.95697294123e-05,143.399672201,210.967506419
204,18611.0,1.0,,,,,,,,,,,
205,13906.0,1.0,,,,,,,,,,,
206,20103.0,3.0,,,,,,,,,,,
207,19105.0,3.0,,,,,,,,,,,
208,21100.0,1.0,,,,,,,,,,,
209,3207.0,1.0,,,,,,,,,,,
210,8507.0,2.0,15.0,3.0,1.0,0.0,18.0,122378.0,32.8217726,-117.1692613,0.000147085260423,48.9924801571,75.4133171048
211,16901.0,1.0,,,,,,,,,,,
212,13702.0,3.0,,,,,,,,,,,
213,18801.0,2.0,,,,,,,,,,,
214,16701.0,1.0,,,,,,,,,,,
215,10107.0,4.0,5.0,2.0,0.0,0.0,29.0,255363.0,32.5786424,-117.0728131,0.000113563828746,57.3695295838,
216,17019.0,2.0,10.0,0.0,0.0,0.0,89.0,1240154.0,33.0341702,-117.0539075,7.17652807635e-05,,
217,8600.0,1.0,16.0,3.0,0.0,1.0,71.0,2036590.0,32.7913374,-117.1797834,3.48621961219e-05,62.9804720072,
218,19208.0,1.0,,,,,,,,,,,
219,2707.0,3.0,4.0,1.0,1.0,0.0,31.0,117438.0,32.7512943,-117.0885293,0.000263969073043,41.0022331109,111.406264138
220,20307.0,1.0,,,,,,,,,,,
