,tract,blockgroup
454,001400,2
455,001400,3
456,001500,1
457,005100,2
458,005200,1
459,007301,1
460,005200,2
461,005300,1
462,005300,2
463,005300,3
464,005300,4
465,005400,1
466,005400,2
467,004100,3
468,005500,1
469,005600,1
470,005700,2
471,005800,1
472,005900,2
473,005900,3
474,006000,1
475,006000,2
476,006000,3
477,006100,1
478,006500,2
479,006500,3
480,006600,1
481,006801,1
482,006802,1
483,006802,2
484,006802,3
485,007800,4
486,007800,5
487,006900,2
488,006900,3
489,007002,1
490,008101,4
491,008101,5
492,008102,1
493,008102,2
494,008102,3
495,008200,1
496,003502,2
497,003502,3
498,003602,1
499,007200,1
500,007800,1
501,007800,3
502,003602,2
503,003800,1
504,003901,1
505,003901,3
506,003902,1
507,003902,2
508,008200,2
509,007903,2
510,007903,3
511,003902,3
512,004000,1
513,004000,3
514,004000,4
515,004100,1
516,004100,2
517,007502,1
518,007502,2
519,007502,3
520,007600,1
521,007600,2
522,008002,1
523,007301,2
524,007302,1
525,007302,3
526,007400,2
527,007400,3
528,007400,5
529,007400,6
530,007501,1
531,007501,3
532,007501,4
533,007501,5
534,008002,2
535,008101,1
536,008101,3
537,004200,3
538,004300,2
539,003501,2
540,003501,3
541,003502,1
542,004300,3
543,004400,2
544,004400,3
545,004501,3
546,004600,2
547,004700,1
548,020403,1
549,020707,1
550,020707,2
*551,020709,2
552,020202,3
553,020601,2
554,020601,3
555,020602,1
556,020602,2
557,020602,3
558,020602,4
559,020705,1
560,020206,1
561,020206,2
562,020207,2
563,020208,1
564,020209,1
565,020209,2
566,020210,1
567,020210,2
568,020211,1
569,020211,2
570,020403,2
571,020404,2
572,020405,1
573,020500,1
574,020211,3
575,020109,3
576,020109,4
577,020202,1
578,020202,2
579,020304,2
580,020305,1
581,020305,2
582,003101,1
583,003101,2
584,003101,3
585,003103,1
586,003103,2
587,003105,1
588,003109,1
589,003109,2
590,003109,3
591,003111,1
592,003111,2
593,003111,3
594,003112,1
595,003112,2
596,003113,1
597,003113,2
598,003114,1
599,003115,1
600,003115,2
601,003201,2
602,003201,3
603,003202,1
604,003202,2
605,003204,2
606,003207,3
607,003208,1
608,003211,1
609,003211,2
610,003212,1
611,003213,1
612,003214,1
613,003001,3
614,003003,1
615,003003,2
616,003003,3
617,003004,1
618,003105,2
619,003107,1
620,003107,2
621,003107,3
622,003108,1
623,003108,2
624,002709,1
625,002709,2
626,002710,1
627,002710,2
628,002801,1
629,008506,1
630,008506,2
631,008506,3
632,008507,1
633,008507,3
634,008507,4
635,008507,5
636,008507,6
637,009706,7
638,009801,1
639,009801,2
640,002803,1
641,002803,2
642,002803,3
643,002803,4
644,002804,1
645,009801,3
646,009801,4
647,010003,4
648,010004,1
649,002702,3
650,002703,1
651,008360,2
652,008360,3
653,008501,3
654,008501,4
655,008504,5
656,008509,1
657,008509,2
658,008509,3
659,008509,4
660,008509,5
661,008510,1
662,009802,3
663,009802,4
664,002703,2
665,002703,4
666,008324,3
667,002705,1
668,002705,2
669,008502,1
670,008502,3
671,008502,5
672,008510,3
673,008512,1
674,008512,2
675,008512,3
676,008510,2
677,008513,2
678,010009,1
679,010010,1
680,008503,1
681,008503,4
682,008504,2
683,008504,4
684,008600,2
685,008600,3
686,008701,1
687,008701,2
688,008702,3
689,008800,1
690,008800,2
691,009804,1
692,009804,4
693,009805,1
694,008800,3
695,008901,1
696,008901,2
697,008901,3
698,008901,4
699,009000,1
700,009805,2
701,009805,3
702,009805,4
703,010001,1
704,008327,1
705,008327,2
706,009101,1
707,009101,2
708,009101,3
709,009101,4
710,010001,2
711,010003,1
712,010003,2
713,010003,3
714,009102,1
715,009102,2
716,009103,1
717,009103,3
718,009103,4
719,008329,1
720,009304,1
721,008330,1
722,008331,1
723,008335,1
724,008336,1
725,009304,2
726,009304,3
727,009502,1
728,009502,2
729,009504,1
730,008336,2
731,008337,1
732,008337,2
733,008340,1
734,008340,2
735,009507,1
736,009507,2
737,008341,1
738,008343,1
739,008343,2
740,008344,1
741,009602,1
742,008344,2
743,008345,2
744,008345,3
745,008347,2
746,008347,3
747,008348,2
748,008349,1
749,009602,3
750,009602,4
751,009603,2
752,009603,4
753,009604,2
754,009604,3
755,009602,2
756,008349,2
757,008350,2
758,008350,3
759,008351,1
760,008351,3
761,008351,4
762,008352,2
763,009604,4
764,009703,1
765,009703,2
766,009703,3
767,009704,1
768,008353,1
769,008354,1
770,008355,1
771,008355,2
772,008356,1
773,008356,2
774,009704,2
775,009705,1
776,009705,2
777,010005,1
778,010005,2
779,010005,3
780,010005,4
781,008357,1
782,008357,2
783,008358,1
784,008358,2
785,008358,3
786,008358,4
787,008359,1
788,008359,2
789,008360,1
790,008505,1
791,008505,2
792,008505,3
793,008505,4
794,008505,5
795,009705,3
796,009706,3
797,009706,4
798,017046,1
799,009706,5
800,009706,6
*801,017106,2
802,008501,2
803,008310,3
804,008310,2
805,018516,1
806,008307,2
807,015704,1
808,020020,1
809,017601,3
810,005700,1
811,003901,2
812,020401,2
813,003204,1
*814,002201,1
815,015302,1
816,013801,1
817,020809,1
818,019107,1
819,020404,3
820,017037,3
821,008345,1
822,016201,1
823,007903,1
824,010300,1
825,020306,1
826,016606,1
827,021204,1
828,003902,4
829,020706,3
830,002202,1
831,009201,2
832,003207,2
833,015801,2
834,020902,1
835,018612,1
836,017021,1
837,020500,3
838,008306,3
839,018610,1
840,009804,2
841,017042,1
842,008351,2
843,008312,2
844,014602,2
845,020021,1
846,005600,2
847,020014,1
848,020904,2
849,020024,2
850,019903,1
851,017045,1
852,017044,1
853,009400,1
854,020805,2
855,011601,3
856,011602,1
857,011602,2
858,018802,3
859,008312,1
860,019904,1
861,008352,3
862,009603,3
863,019803,1
864,007400,4
865,019001,2
866,020404,1
867,010004,2
868,003115,3
869,002707,2
870,010012,2
871,013204,2
872,021303,2
873,013411,2
874,020902,2
875,020904,1
*876,020801,1
877,019602,3
878,019602,2
879,019106,4
880,011700,2
881,012600,1
882,012600,2
883,020308,1
884,020308,2
885,020308,3
886,020309,1
887,020309,2
888,017049,2
889,009802,5
890,008328,1
*891,017106,1
892,020014,2
893,019806,2
894,018515,2
895,017810,2
896,007903,4
897,016100,3
898,008502,2
899,007100,2
900,019002,1
901,000900,5
902,019101,1
903,008333,1
904,002804,3
905,013412,1
906,013308,2
907,012200,1
908,011601,1
909,015404,2
910,021204,2
911,009706,1
912,017022,5
913,017022,6
*914,017106,4
915,017109,3
916,017110,1
917,017200,2
918,017303,2
*919,017110,2
*920,017110,3
921,017200,1
922,017811,4
923,020026,2
924,018513,1
925,018802,5
926,019101,2
927,019101,4
928,019106,3
929,019301,3
930,019303,3
931,019601,2
932,019803,3
933,019806,4
934,019904,3
935,013421,3
936,013605,3
937,013903,2
938,014300,2
939,014901,2
940,016301,2
941,016302,2
942,016401,1
943,016401,2
944,012900,1
945,012900,2
946,012900,3
947,012800,3
948,019001,3
949,019601,1
950,016811,1
951,019101,3
952,018802,2
953,009804,3
954,008350,1
*955,020709,4
956,021400,3
*957,021600,2
958,021800,2
959,022000,1
960,022000,2
961,018000,2
962,017030,2
963,017030,3
964,017031,1
965,017031,2
966,016613,1
967,020026,3
968,020027,1
