,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,mobile_counts,web_counts,phone_counts,gsl_meandist,gsl_stddist,gsl_mediandist,dsl_meandist,dsl_stddist,dsl_mediandist,sl_count,landarea,cent_lat,cent_lon,sl_density,total_pop,rep_per_cap,graffiti_per,dump_per,lighting_per,tract_in_city
20,2712.0,1.0,14.0,0.0,3.0,0.0,12.0,2.0,,,,,117.843013599,117.843013599,131.090590201,63.0,1349228.0,32.7320561,-117.0689777,4.66933683558e-05,1618,0.00865265760198,0.0,0.214285714286,0.0,1.0
21,2712.0,3.0,17.0,2.0,9.0,0.0,6.0,10.0,1.0,214.614647295,214.614647295,214.614647295,118.386132507,118.386132507,63.1257237497,28.0,507529.0,32.7232735,-117.0807963,5.51692612639e-05,1892,0.00898520084567,0.117647058824,0.529411764706,0.0,1.0
22,8330.0,2.0,10.0,0.0,0.0,1.0,4.0,4.0,2.0,,,,,,,106.0,574732.0,32.9515311,-117.2257179,0.00018443378827,3086,0.00324044069994,0.0,0.0,0.1,1.0
23,8365.0,1.0,7.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,47.0,643750.0,32.9450495,-117.1384059,7.30097087379e-05,1893,0.00369783412573,0.0,0.0,0.0,1.0
24,8366.0,1.0,18.0,0.0,0.0,5.0,3.0,13.0,2.0,,,,,,,271.0,6094609.0,32.9526852,-117.1604288,4.44655268287e-05,6146,0.00292873413602,0.0,0.0,0.277777777778,1.0
25,8510.0,4.0,13.0,0.0,0.0,1.0,2.0,7.0,1.0,,,,,,,22.0,733857.0,32.8049947,-117.1667916,2.99785925596e-05,1379,0.00942712110225,0.0,0.0,0.0769230769231,1.0
26,8800.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,,,,,122.689759158,122.689759158,122.689759158,18.0,180594.0,32.783364,-117.1678588,9.96710854181e-05,1549,0.00322788896062,0.0,0.2,0.4,1.0
27,8200.0,3.0,56.0,0.0,2.0,22.0,14.0,20.0,21.0,,,,264.402133503,264.402133503,264.402133503,109.0,474670.0,32.8453522,-117.2706411,0.000229633218868,845,0.0662721893491,0.0,0.0357142857143,0.392857142857,1.0
28,8312.0,3.0,16.0,0.0,0.0,2.0,4.0,8.0,3.0,,,,,,,35.0,1176726.0,32.8649886,-117.2479486,2.97435426769e-05,581,0.0275387263339,0.0,0.0,0.125,1.0
29,8361.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,6.0,89847.0,32.8630363,-117.2345241,6.67801929948e-05,707,0.002828854314,0.0,0.0,0.0,1.0
30,8362.0,2.0,0.0,,,,,,,,,,,,,,,,,,568,0.0,,,,1.0
31,8502.0,4.0,5.0,1.0,0.0,0.0,1.0,4.0,,84.2871477577,84.2871477577,84.2871477577,,,,44.0,744074.0,32.8353226,-117.2110193,5.91339033483e-05,1420,0.00352112676056,0.2,0.0,0.0,1.0
32,8702.0,1.0,45.0,19.0,0.0,0.0,12.0,26.0,6.0,182.996002215,182.996002215,119.069616472,,,,58.0,1131314.0,32.7943626,-117.1535273,5.12678177765e-05,1697,0.0265173836181,0.422222222222,0.0,0.0,1.0
33,9305.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,26.0,271885.0,32.7970265,-117.1278749,9.56286665318e-05,1407,0.00213219616205,0.0,0.0,0.0,1.0
34,9305.0,3.0,2.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,13.0,229383.0,32.7912715,-117.1261021,5.66737726859e-05,957,0.00208986415883,0.0,0.0,0.0,1.0
35,9306.0,2.0,2.0,1.0,1.0,0.0,2.0,,,64.9380665231,64.9380665231,64.9380665231,42.8456113486,42.8456113486,42.8456113486,20.0,193597.0,32.8000368,-117.1261193,0.000103307385962,430,0.0046511627907,0.5,0.5,0.0,1.0
36,9306.0,3.0,5.0,0.0,0.0,0.0,,3.0,1.0,,,,,,,19.0,209508.0,32.8048854,-117.1265598,9.06886610535e-05,1212,0.00412541254125,0.0,0.0,0.0,1.0
37,9507.0,3.0,9.0,0.0,1.0,0.0,1.0,5.0,2.0,,,,32.1456168004,32.1456168004,32.1456168004,28.0,923043.0,32.8136597,-117.0682504,3.03344481243e-05,671,0.0134128166915,0.0,0.111111111111,0.0,1.0
38,9510.0,1.0,0.0,,,,,,,,,,,,,,,,,,1088,0.0,,,,1.0
39,16504.0,1.0,0.0,,,,,,,,,,,,,,,,,,2836,0.0,,,,0.0
40,16504.0,4.0,0.0,,,,,,,,,,,,,,,,,,426,0.0,,,,0.0
41,16606.0,2.0,0.0,,,,,,,,,,,,,,,,,,1927,0.0,,,,0.0
42,16607.0,3.0,0.0,,,,,,,,,,,,,,,,,,1876,0.0,,,,0.0
43,16609.0,3.0,0.0,,,,,,,,,,,,,,,,,,1862,0.0,,,,0.0
44,16610.0,2.0,0.0,,,,,,,,,,,,,,,,,,1921,0.0,,,,0.0
45,16612.0,3.0,0.0,,,,,,,,,,,,,,,,,,3090,0.0,,,,0.0
46,18512.0,3.0,0.0,,,,,,,,,,,,,,,,,,647,0.0,,,,0.0
47,18514.0,3.0,0.0,,,,,,,,,,,,,,,,,,2182,0.0,,,,0.0
48,18519.0,3.0,0.0,,,,,,,,,,,,,,,,,,1562,0.0,,,,0.0
49,18603.0,2.0,0.0,,,,,,,,,,,,,,,,,,2068,0.0,,,,0.0
50,18610.0,4.0,0.0,,,,,,,,,,,,,,,,,,2876,0.0,,,,0.0
51,20019.0,1.0,0.0,,,,,,,,,,,,,,,,,,2194,0.0,,,,0.0
52,20021.0,3.0,0.0,,,,,,,,,,,,,,,,,,1176,0.0,,,,0.0
53,20026.0,1.0,0.0,,,,,,,,,,,,,,,,,,777,0.0,,,,0.0
54,20027.0,2.0,0.0,,,,,,,,,,,,,,,,,,780,0.0,,,,0.0
55,20028.0,1.0,0.0,,,,,,,,,,,,,,,,,,1710,0.0,,,,0.0
56,20029.0,2.0,0.0,,,,,,,,,,,,,,,,,,709,0.0,,,,0.0
57,2001.0,3.0,36.0,3.0,0.0,2.0,6.0,22.0,6.0,96.1542576135,96.1542576135,83.0853286014,,,,70.0,342663.0,32.7613844,-117.1015355,0.000204282341543,783,0.0459770114943,0.0833333333333,0.0,0.0555555555556,1.0
58,6500.0,1.0,97.0,3.0,25.0,4.0,37.0,36.0,20.0,246.074448979,246.074448979,40.8954424883,238.103504655,238.103504655,166.653252,200.0,1811125.0,32.7540326,-117.2088997,0.000110428601008,1065,0.0910798122066,0.0309278350515,0.257731958763,0.0412371134021,1.0
59,10103.0,1.0,10.0,5.0,2.0,0.0,4.0,2.0,4.0,225.771185616,225.771185616,247.436100787,289.232016413,289.232016413,289.232016413,9.0,2267385.0,32.5996184,-117.0958327,3.96933030782e-06,2303,0.00434216239687,0.5,0.2,0.0,1.0
60,7100.0,1.0,18.0,0.0,0.0,0.0,11.0,5.0,1.0,,,,,,,37.0,755377.0,32.7145648,-117.237928,4.89821638731e-05,1548,0.0116279069767,0.0,0.0,0.0,1.0
61,8329.0,2.0,5.0,0.0,1.0,0.0,3.0,2.0,,,,,230.933398396,230.933398396,230.933398396,27.0,546016.0,32.9389769,-117.2343781,4.94491003927e-05,1361,0.00367376928729,0.0,0.2,0.0,1.0
62,8329.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,19.0,334474.0,32.9442844,-117.2344082,5.68056111985e-05,1819,0.00164925783397,0.0,0.0,0.0,1.0
63,9706.0,2.0,15.0,2.0,1.0,0.0,6.0,5.0,2.0,294.068963402,294.068963402,294.068963402,435.916387035,435.916387035,435.916387035,36.0,576333.0,32.7809015,-117.0588022,6.24638880647e-05,1242,0.012077294686,0.133333333333,0.0666666666667,0.0,1.0
64,202.0,1.0,29.0,1.0,1.0,0.0,3.0,14.0,9.0,40.229335497,40.229335497,40.229335497,45.9200337579,45.9200337579,45.9200337579,67.0,398313.0,32.743901,-117.177338,0.000168209423243,1295,0.0223938223938,0.0344827586207,0.0344827586207,0.0,1.0
