tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
5300,4,3,,8.0,1500000US060730053004,60730053004,40.4,46.1,33.4,1412,1217,813,240,0,133,0,0,31,0,31,195,39,42,0,50,35,12,68,13,0,72,110,38,57,77,70,116,67088,12,787,73554,321,478,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,36,107,134,68,107,0,890400
5400,1,3,,7.0,1500000US060730054001,60730054001,51.5,46.9,51.9,631,480,480,0,0,0,0,0,0,0,0,151,36,0,0,0,0,0,38,0,0,42,23,25,0,46,98,112,153750,0,420,184088,240,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,119,36,664300
5400,2,15,,14.0,1500000US060730054002,60730054002,47.8,44.4,54.3,2651,2132,1499,25,0,549,46,0,13,13,0,519,130,127,0,23,0,86,20,91,35,79,27,169,183,147,194,242,96250,21,1532,67363,871,682,23,39,0,65,81,0,0,0,0,0,0,0,0,0,0,40,0,0,64,0,302,68,548400
5400,3,4,,5.0,1500000US060730054003,60730054003,60.4,60.0,60.6,945,880,747,27,0,106,0,0,0,0,0,65,9,61,0,0,0,18,0,90,11,65,122,121,26,24,30,88,70509,0,665,79641,232,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,237,74,23,603700
5400,4,1,,23.0,1500000US060730054004,60730054004,36.2,39.5,31.4,3039,2683,1868,237,0,346,0,0,232,0,232,356,207,192,35,67,104,140,24,29,0,14,191,292,213,77,96,406,81432,24,2063,75782,492,1595,0,0,0,0,12,0,23,0,0,50,0,0,73,118,62,79,142,66,24,269,511,166,453200
5500,1,4,,,1500000US060730055001,60730055001,24.3,24.6,21.5,151,126,76,27,0,8,8,5,2,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,25417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
5600,1,5,,7.0,1500000US060730056001,60730056001,46.7,42.7,47.6,1624,1459,1132,51,39,172,0,0,65,0,65,165,16,206,197,120,0,67,48,42,0,98,121,101,111,39,71,61,38958,0,1298,54601,265,1033,0,0,11,0,76,95,41,111,96,38,42,10,16,10,0,0,0,31,39,191,202,24,347500
5600,2,38,2.0,15.0,1500000US060730056002,60730056002,34.8,39.8,33.5,2107,1743,1435,154,0,115,0,39,0,0,0,364,70,76,62,126,105,27,12,19,25,110,97,224,125,15,141,161,70925,11,1384,64058,414,981,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,89,60,127,164,369,131,0,408000
5800,1,6,,8.0,1500000US060730058001,60730058001,31.5,32.7,29.7,2859,2400,2149,77,0,153,0,0,21,0,21,459,158,29,25,0,22,105,16,52,41,183,141,232,127,130,140,203,78071,25,1579,56828,413,1191,0,0,0,0,0,12,0,0,0,0,0,14,0,9,18,18,98,84,85,317,512,24,374800
5900,1,3,,1.0,1500000US060730059001,60730059001,37.7,41.9,35.2,985,815,709,73,10,23,0,0,0,0,0,170,41,8,35,68,5,54,15,55,80,56,14,82,43,11,61,18,47188,10,636,47151,110,536,0,0,0,10,0,0,0,0,0,0,0,32,0,23,0,105,70,132,48,71,35,10,384200
6000,1,4,,1.0,1500000US060730060001,60730060001,39.9,47.0,32.0,1040,930,861,13,0,39,0,0,17,0,17,110,75,27,47,52,57,18,15,15,0,38,50,104,49,63,27,13,51900,13,637,43512,157,493,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,120,27,151,0,68,27,25,532200
6000,2,5,,,1500000US060730060002,60730060002,50.6,42.7,73.6,1241,1061,1009,42,0,10,0,0,0,0,0,180,13,0,63,99,128,51,37,20,27,13,112,35,35,38,24,44,38547,35,704,39804,137,602,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,79,105,82,26,149,107,19,727600
6000,3,7,,2.0,1500000US060730060003,60730060003,44.8,43.8,51.6,1481,1339,1168,2,0,103,0,66,0,0,0,142,23,62,0,38,32,20,33,13,0,73,51,92,96,32,82,142,92688,0,789,79623,453,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,72,43,35,79,0,0,597400
6100,1,1,,,1500000US060730061001,60730061001,35.0,34.4,35.9,1836,1383,1115,64,0,80,22,0,102,17,85,453,54,20,3,58,7,90,36,0,17,39,55,153,90,81,54,71,90109,39,789,49623,338,490,0,0,0,0,0,0,0,0,4,0,0,0,0,13,10,93,31,163,50,99,24,3,476500
6100,2,6,,3.0,1500000US060730061002,60730061002,35.3,45.9,28.5,546,405,356,33,0,0,0,0,16,0,16,141,14,39,7,31,32,13,14,19,0,33,27,13,13,21,4,21,40066,18,283,35811,62,239,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0,27,13,25,47,63,0,0,376900
