tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist,Estimate; Total,rep_per_cap,graffiti_per,dump_per,lighting_per
8361.0,2.0,2.0,0.0,0.0,0.0,6.0,89847.0,32.8630363,-117.2345241,6.67801929948e-05,,,707,0.002828854314,0.0,0.0,0.0
8362.0,2.0,0.0,,,,,,,,,,,568,0.0,,,
8502.0,4.0,5.0,1.0,0.0,0.0,44.0,744074.0,32.8353226,-117.2110193,5.91339033483e-05,84.2871477577,,1420,0.00352112676056,0.2,0.0,0.0
8702.0,1.0,45.0,19.0,0.0,0.0,58.0,1131314.0,32.7943626,-117.1535273,5.12678177765e-05,182.996002215,,1697,0.0265173836181,0.422222222222,0.0,0.0
9305.0,2.0,3.0,0.0,0.0,0.0,26.0,271885.0,32.7970265,-117.1278749,9.56286665318e-05,,,1407,0.00213219616205,0.0,0.0,0.0
9305.0,3.0,2.0,0.0,0.0,0.0,13.0,229383.0,32.7912715,-117.1261021,5.66737726859e-05,,,957,0.00208986415883,0.0,0.0,0.0
9306.0,2.0,2.0,1.0,1.0,0.0,20.0,193597.0,32.8000368,-117.1261193,0.000103307385962,64.9380665231,42.8456113486,430,0.0046511627907,0.5,0.5,0.0
9306.0,3.0,5.0,0.0,0.0,0.0,19.0,209508.0,32.8048854,-117.1265598,9.06886610535e-05,,,1212,0.00412541254125,0.0,0.0,0.0
9507.0,3.0,9.0,0.0,1.0,0.0,28.0,923043.0,32.8136597,-117.0682504,3.03344481243e-05,,32.1456168004,671,0.0134128166915,0.0,0.111111111111,0.0
9510.0,1.0,0.0,,,,,,,,,,,1088,0.0,,,
16504.0,1.0,0.0,,,,,,,,,,,2836,0.0,,,
16504.0,4.0,0.0,,,,,,,,,,,426,0.0,,,
16606.0,2.0,0.0,,,,,,,,,,,1927,0.0,,,
16607.0,3.0,0.0,,,,,,,,,,,1876,0.0,,,
16609.0,3.0,0.0,,,,,,,,,,,1862,0.0,,,
16610.0,2.0,0.0,,,,,,,,,,,1921,0.0,,,
16612.0,3.0,0.0,,,,,,,,,,,3090,0.0,,,
18512.0,3.0,0.0,,,,,,,,,,,647,0.0,,,
18514.0,3.0,0.0,,,,,,,,,,,2182,0.0,,,
18519.0,3.0,0.0,,,,,,,,,,,1562,0.0,,,
18603.0,2.0,0.0,,,,,,,,,,,2068,0.0,,,
18610.0,4.0,0.0,,,,,,,,,,,2876,0.0,,,
20019.0,1.0,0.0,,,,,,,,,,,2194,0.0,,,
20021.0,3.0,0.0,,,,,,,,,,,1176,0.0,,,
20026.0,1.0,0.0,,,,,,,,,,,777,0.0,,,
20027.0,2.0,0.0,,,,,,,,,,,780,0.0,,,
20028.0,1.0,0.0,,,,,,,,,,,1710,0.0,,,
20029.0,2.0,0.0,,,,,,,,,,,709,0.0,,,
